# name|cloneof|title|category|manufacturer|year|titleImg|snapImg
dkongjrm|dkongjr|Donkey Kong Jr. (bootleg on Moon Cresta hardware)|Platform / Run Jump|bootleg|1982|dkongjr|dkongjr
dkongo|dkong|Donkey Kong (US set 2)|Platform / Run Jump|Nintendo|1981|dkong|dkong
dlair||Dragon's Lair (US Rev. F2)|Unplayable|Cinematronics|1983|dlair|dlair
dleague||Dynamite League (US)|Sports / Baseball|Taito America Corporation|1990|dleague|dleague
dmndrby||Diamond Derby (Newer)|Unplayable|Electrocoin|1994||dmndrby
dmndrbya|dmndrby|Diamond Derby (Original)|Unplayable|Electrocoin|1986||dmndrby
dmnfrnt||Demon Front (68k label V105, ROM M105XX 08/05/02) (ARM label V105, ROM 08/05/02 S105XX)||IGS|2002||
dmnfrnta|dmnfrnt|Demon Front (68k label V102, ROM M102XX 06/19/02) (ARM label V102, ROM 05/24/02 S101XX)||IGS|2002||
dnmtdeka|diehard|Dynamite Deka (J 960515 V1.000)|Fighter / 2.5D|Sega|1996|diehard|diehard
doa||Dead or Alive (Model 2B, Revision B)|Unplayable|Sega|1996||
doaa|doa|Dead or Alive (Model 2A, Revision A)|Unplayable|Sega|1996||
doapp||Dead Or Alive ++ (Japan)|Fighter / Versus|Tecmo|1998|doapp|doapp
docastle||Mr. Do's Castle (set 1)|Platform / Run Jump|Universal|1983|docastle|docastle
dockman||Dock Man|Platform / Run Jump|Taito Corporation|1982|dockman|dockman
dodgem||Dodgem|Maze|Zaccaria|1979|dodgem|dodgem
dogfgt||Acrobatic Dog-Fight|Shooter / Flying|Technos Japan|1984|dogfgt|dogfgt
dogfgtj|dogfgt|Dog-Fight (Japan)|Shooter / Flying|Technos Japan|1984|dogfgt|dogfgt
dogfight||Dog Fight (Thunderbolt)|Shooter / Gallery|Orca / Thunderbolt|1983|dogfight|dogfight
dogosoke|victroad|Dogou Souken|Shooter / Walking|SNK|1986|victroad|victroad
dogpatch||Dog Patch|Shooter / Versus|Midway|1977|dogpatch|dogpatch
dogyuun||Dogyuun|Shooter / Flying Vertical|Toaplan|1992|dogyuun|dogyuun
dokaben||Dokaben (Japan)|Sports / Baseball|Capcom|1989|dokaben|dokaben
dokyusei||Mahjong Doukyuusei|Tabletop / Mahjong|Make Software / Elf / Media Trading|1995|dokyusei|dokyusei
dokyusp||Mahjong Doukyuusei Special|Tabletop / Mahjong|Make Software / Elf / Media Trading|1995|dokyusp|dokyusp
domino||Domino Man|Misc.|Bally Midway|1982|domino|domino
dominos||Dominos|Maze / Surround|Atari|1977|dominos|dominos
dommy||Dommy|Maze|Technos Japan|1983|dommy|dommy
dondenmj||Don Den Mahjong [BET] (Japan)|Tabletop / Mahjong|Dyna Electronics|1986|dondenmj|dondenmj
dondokod||Don Doko Don (World)|Platform / Run Jump|Taito Corporation Japan|1989|dondokod|dondokod
donpachi||DonPachi (US)|Shooter / Flying Vertical|Cave (Atlus license)|1995|donpachi|donpachi
dorachan||Dorachan|Maze|Craul Denshi|1980|dorachan|dorachan
dorodon||Dorodon (set 1)|Maze|UPL (Falcon license?)|1982|dorodon|dorodon
dorodon2|dorodon|Dorodon (set 2)|Maze|UPL (Falcon license?)|1982|dorodon|dorodon
dorunrun||Do! Run Run (set 1)|Maze|Universal|1984|dorunrun|dorunrun
dotrikun||Dottori Kun (new version)|Maze|Sega|1990|dotrikun|dotrikun
dotron||Discs of Tron (Upright)|Misc.|Bally Midway|1983|dotron|dotron
dotrona|dotron|Discs of Tron (Upright alternate)|Misc.|Bally Midway|1983|dotron|dotron
dotrone|dotron|Discs of Tron (Environmental)|Misc.|Bally Midway|1983|dotron|dotron
doubledr||Double Dragon (Neo-Geo)|Fighter / Versus|Technos Japan|1995|doubledr|doubledr
douni|docastle|Mr. Do vs. Unicorns|Platform / Run Jump|Universal|1983|docastle|docastle
dowild||Mr. Do's Wild Ride|Platform / Run Jump|Universal|1984|dowild|dowild
downtown||DownTown / Mokugeki (set 1)|Fighter / Vertical|Seta|1989|downtown|downtown
dplay||Double Play|Sports / Baseball|Midway|1977||
dragnblz||Dragon Blaze|Shooter / Flying Vertical|Psikyo|2000|dragnblz|dragnblz
dragngun||Dragon Gun (US)|Shooter / 1st Person|Data East Corporation|1993|dragngun|dragngun
dragoona||Dragoon Might (ver AAB)|Fighter / Versus|Konami|1995|dragoona|dragoona
dragoonj|dragoona|Dragoon Might (ver JAA)|Fighter / Versus|Konami|1995|dragoona|dragoona
dragrace||Drag Race|Driving / Race|Atari (Kee Games)|1977|dragrace|dragrace
drakton||Drakton (DK conversion)|Unplayable|Epos Corporation|1984|drakton|drakton
dreamwld||Dream World||SemiCom|2000||
dremshpr||Dream Shopper|Puzzle / Maze|Sanritsu|1982|dremshpr|dremshpr
drgnbowl||Dragon Bowl|Fighter / 2.5D|Nics|1992|drgnbowl|drgnbowl
drgnbstr||Dragon Buster|Platform / Fighter Scrolling|Namco|1984|drgnbstr|drgnbstr
drgninja|baddudes|Dragonninja (Japan)|Platform / Fighter Scrolling|Data East Corporation|1988|baddudes|baddudes
drgnmst||Dragon Master|Fighter / Versus|Unico|1994|drgnmst|drgnmst
drgnunit||Dragon Unit / Castle of Dragon|Platform / Fighter Scrolling|Seta|1989|drgnunit|drgnunit
drgnwrld||Dragon World (World, V040O)||IGS|1997||
drgpunch||Dragon Punch (Japan)|Puzzle / Match|Dynax|1989|drgpunch|drgpunch
drgw2||Dragon World II (ver. 110X, Export)|Puzzle / Match|IGS|1997|drgw2|drgw2
drgw2c|drgw2|Zhong Guo Long II (ver. 100C, China)|Puzzle / Match|IGS|1997|drgw2|drgw2
drgw2j|drgw2|Chuugokuryuu II (ver. 100J, Japan)||IGS|1997|drgw2|drgw2
drgw3||Dragon World 3 (ver. 106, Korean Board)|Unplayable|IGS|1998|drgw3|drgw3
dribling||Dribbling|Sports / Soccer|Model Racing|1983|dribling|dribling
drifto94||Drift Out '94 - The Hard Order (Japan)|Driving / Race|Visco|1994|drifto94|drifto94
driftout||Drift Out (Europe)|Driving / Race|Visco|1991|driftout|driftout
drivedge||Driver's Edge|Driving / 1st Person|Strata/Incredible Technologies|1994|drivedge|drivedge
driveout|driftout|Drive Out (bootleg)|Driving / Race|bootleg|1991|driftout|driftout
driveyes||Driver's Eyes (US)||Namco|1991||
drivfrcb|drivfrcp|Driving Force (Galaxian conversion bootleg)|Driving / Race (chase view)|bootleg (Elsys Software)|1985|drivfrcp|drivfrcp
drivfrcg|drivfrcp|Driving Force (Galaxian conversion)|Driving / Race (chase view)|Shinkai Inc. (Magic Eletronics USA license)|1984|drivfrcp|drivfrcp
drivfrcp||Driving Force (Pac-Man conversion)|Driving / Race (chase view)|Shinkai Inc. (Magic Eletronics Inc. license)|1984|drivfrcp|drivfrcp
drmario||Vs. Dr. Mario|Puzzle / Drop|Nintendo|1990|drmario|drmario
drmicro||Dr. Micro|Platform / Run Jump|Sanritsu|1983|drmicro|drmicro
drtomy||Dr. Tomy||Playmark|1993||
drtoppel||Dr. Toppel's Adventure (World)|Shooter / Flying Vertical|Kaneko / Taito Corporation Japan|1987|drtoppel|drtoppel
dsaber||Dragon Saber|Shooter / Flying Vertical|Namco|1990|dsaber|dsaber
dsaberj|dsaber|Dragon Saber (Japan)|Shooter / Flying Vertical|Namco|1990|dsaber|dsaber
dsoccr94||Dream Soccer '94 (World, M107 hardware)|Sports / Soccer|Irem (Data East Corporation license)|1994|dsoccr94|dsoccr94
dspirit||Dragon Spirit (new version)|Shooter / Flying Vertical|Namco|1987|dspirit|dspirit
dspirito|dspirit|Dragon Spirit (old version)|Shooter / Flying Vertical|Namco|1987|dspirit|dspirit
dstlk||Darkstalkers: The Night Warriors (Euro 940705)|Fighter / Versus|Capcom|1994|dstlk|dstlk
dstlka|dstlk|Darkstalkers: The Night Warriors (Asia 940705)|Fighter / Versus|Capcom|1994|dstlk|dstlk
dstlku|dstlk|Darkstalkers: The Night Warriors (USA 940818)|Fighter / Versus|Capcom|1994|dstlk|dstlk
dstlkur1|dstlk|Darkstalkers: The Night Warriors (USA 940705)|Fighter / Versus|Capcom|1994|dstlk|dstlk
dualaslt|liberate|Dual Assault|Shooter / Flying|Data East USA|1984|liberate|liberate
duckhunt||Vs. Duck Hunt (set DH3 E)|Shooter / Gun|Nintendo|1985|duckhunt|duckhunt
dumpmtmt|bodyslam|Dump Matsumoto (Japan, 8751 317-0011a)|Wrestling|Sega|1986|bodyslam|bodyslam
dungeonm|lightbr|Dungeon Magic (Ver 2.1O 1994/02/18)|Maze / Fighter|Taito Corporation Japan|1993|dungeonm|dungeonm
dunkmnia||Dunk Mania (Asia, DM2/VER.C)|Sports / Basketball|Namco|1995|dunkmnia|dunkmnia
dunkshot||Dunk Shot (FD1089A 317-0022)|Sports / Basketball|Sega|1986|dunkshot|dunkshot
dwarfd||Draw Poker III / Dwarfs Den (Dwarf Gfx)||Electro-Sport|1981||
dyger||Dyger (Korea set 1)|Shooter / Flying Vertical|Philko|1989|dyger|dyger
dygera|dyger|Dyger (Korea set 2)|Shooter / Flying Vertical|Philko|1989|dyger|dyger
dynabb||Dynamite Baseball|Unplayable|Sega|1996||
dynablst||Dynablaster / Bomber Man|Maze|Irem (licensed from Hudson Soft)|1991|dynablst|dynablst
dynadice||Dynamic Dice|Casino||1969|dynadice|dynadice
dynagear||Dyna Gear|Platform / Fighter Scrolling|Sammy|1993|dynagear|dynagear
dynamcop||Dynamite Cop (Export, Model 2A)|Unplayable|Sega|1998||
dynamski||Dynamic Ski|Sports / Skiing|Taiyo|1984|dynamski|dynamski
dyndeka2|dynamcop|Dynamite Deka 2 (Japan, Model 2A)|Unplayable|Sega|1998||
dynduke||Dynamite Duke (Europe set 1)|Shooter / 3rd Person|Seibu Kaihatsu|1989|dynduke|dynduke
dynobop||Dyno Bop|Misc.|Grand Products/Incredible Technologies|1990|dynobop|dynobop
dynwar||Dynasty Wars (USA, B-Board 89624B-?)|Fighter / 2.5D|Capcom|1989||dynwar
dynwarj|dynwar|Tenchi wo Kurau (Japan)|Fighter / 2.5D|Capcom|1989||dynwar
dzigzag|digdug|Zig Zag (Dig Dug hardware)|Maze / Digging|bootleg|1982|digdug|digdug
eagle|mooncrst|Eagle (set 1)|Shooter / Gallery|Nichibutsu (Centuri license)|1980|mooncrst|mooncrst
eagle2|mooncrst|Eagle (set 2)|Shooter / Gallery|Nichibutsu (Centuri license)|1980|mooncrst|mooncrst
eagle3|mooncrst|Eagle (set 3)|Shooter / Gallery|Nichibutsu (Centuri license)|1980|mooncrst|mooncrst
eaglshot||Eagle Shot Golf|Sports / Golf|Sammy|1994|eaglshot|eaglshot
earthjkr||U.N. Defense Force: Earth Joker|Shooter / Flying Vertical|Visco|1993|earthjkr|earthjkr
ebases||Extra Bases|Sports / Baseball|Midway|1980|ebases|ebases
eca||Emergency Call Ambulance||Sega|1999||
ecofghtr||Eco Fighters (World 931203)|Shooter / Flying Horizontal|Capcom|1993|ecofghtr|ecofghtr
edf||E.D.F. : Earth Defense Force|Shooter / Flying Horizontal|Jaleco|1991|edf|edf
edfu|edf|E.D.F. : Earth Defense Force (North America)||Jaleco|1991|edf|edf
edrandy||The Cliffhanger - Edward Randy (World ver 3)|Fighter / 2D|Data East Corporation|1990|edrandy|edrandy
edrandy1|edrandy|The Cliffhanger - Edward Randy (World ver 1)|Fighter / 2D|Data East Corporation|1990|edrandy|edrandy
edrandyj|edrandy|The Cliffhanger - Edward Randy (Japan ver 3)|Fighter / 2D|Data East Corporation|1990|edrandy|edrandy
egghunt||Egg Hunt||Invi Image|1995||
eggor||Eggor|Maze / Shooter Small|Telko|1983|eggor|eggor
eggs|scregg|Eggs (USA)|Maze|Technos Japan (Universal USA license)|1983|scregg|scregg
eggventr||Egg Venture (Release 10)|Shooter / Gun|The Game Room|1997|eggventr|eggventr
ehrgeiz||Ehrgeiz (US, EG3/VER.A)|Fighter / Versus|Square / Namco|1998|ehrgeiz|ehrgeiz
eightfrc||Eight Forces|Shooter / Flying Vertical|Tecmo|1994|eightfrc|eightfrc
eightman||Eight Man (NGM-025)(NGH-025)|Platform / Fighter Scrolling|SNK / Pallas|1991|eightman|eightman
ejanhs||E-Jan High School (Japan)|Tabletop / Mahjong|Seibu Kaihatsu|1996|ejanhs|ejanhs
ejihon||Ejihon Tantei Jimusyo (J 950613 V1.000)|Misc.|Sega|1995|ejihon|ejihon
elandore||Touryuu Densetsu Elan-Doree / Elan Doree - Legend of Dragoon (JUET 980922 V1.006)|Unplayable|Sai-Mate|1998|elandore|elandore
elecyoyo||The Electric Yo-Yo (set 1)|Maze|Taito America Corporation|1982|elecyoyo|elecyoyo
elephfam||Elephant Family (Italian, new)||C.M.C.|1997||
elevator||Elevator Action|Platform / Shooter|Taito Corporation|1983|elevator|elevator
elim2||Eliminator (2 Players, set 1)|Shooter / Field|Gremlin|1981|elim2|elim2
elim2a|elim2|Eliminator (2 Players, set 2)|Shooter / Field|Gremlin|1981|elim2|elim2
elim2c|elim2|Eliminator (2 Players, cocktail)||Gremlin|1981|elim2|elim2
elim4|elim2|Eliminator (4 Players)|Shooter / Field|Gremlin|1981|elim2|elim2
elim4p|elim2|Eliminator (4 Players, prototype)||Gremlin|1981|elim2|elim2
elvact2u|elvactr|Elevator Action II (Ver 2.2A 1995/02/20)|Platform / Shooter|Taito America Corporation|1994|elvactr|elvactr
elvactr||Elevator Action Returns (Ver 2.2O 1995/02/20)|Platform / Shooter|Taito Corporation Japan|1994|elvactr|elvactr
elvactrj|elvactr|Elevator Action Returns (Ver 2.2J 1995/02/20)|Platform / Shooter|Taito Corporation|1994|elvactr|elvactr
embargo||Embargo|Maze / Surround|Cinematronics|1977|embargo|embargo
emeralda||Emeraldia (World)|Puzzle / Drop|Namco|1993|emeralda|emeralda
empcity||Empire City: 1931 (bootleg?)|Shooter / 1st Person|Seibu Kaihatsu|1986|empcity|empcity
empcityj|empcity|Empire City: 1931 (Japan)|Shooter / 1st Person|Seibu Kaihatsu (Taito license)|1986|empcity|empcity
empcityu|empcity|Empire City: 1931 (US)|Shooter / 1st Person|Seibu Kaihatsu (Taito / Romstar license)|1986|empcity|empcity
endurob2|enduror|Enduro Racer (bootleg set 2)|Driving / Race (chase view) Bike|bootleg|1986|enduror|enduror
endurobl|enduror|Enduro Racer (bootleg set 1)|Driving / Race (chase view) Bike|bootleg|1986|enduror|enduror
enduror||Enduro Racer (YM2151, FD1089B 317-0013A)|Driving / Race (chase view) Bike|Sega|1986|enduror|enduror
enduror1|enduror|Enduro Racer (YM2203, FD1089B 317-0013A)||Sega|1986|enduror|enduror
enforce||Enforce (Japan)|Shooter / Driving 1st Person|Taito Corporation|1988|enforce|enforce
enigma2||Enigma II|Shooter / Gallery|Game Plan (Zilec Electronics license)|1981|enigma2|enigma2
enigma2a|enigma2|Enigma II (Space Invaders hardware)|Shooter / Gallery|Zilec Electronics|1984|enigma2|enigma2
eprom||Escape from the Planet of the Robot Monsters (set 1)|Maze / Shooter Large|Atari Games|1989|eprom|eprom
eprom2|eprom|Escape from the Planet of the Robot Monsters (set 2)|Maze / Shooter Large|Atari Games|1989|eprom|eprom
equites||Equites|Shooter / Walking|Alpha Denshi Co.|1984|equites|equites
equitess|equites|Equites (Sega)|Shooter / Walking|Alpha Denshi Co. (Sega license)|1984|equites|equites
ertictac||Erotictac/Tactic|Puzzle / Drop|Sisteme|1990||
esb||The Empire Strikes Back|Shooter / Flying 1st Person|Atari Games|1985|esb|esb
esckids||Escape Kids (Asia, 4 Players)|Sports / Track & Field|Konami|1991|esckids|esckids
esckidsj|esckids|Escape Kids (Japan, 2 Players)||Konami|1991|esckids|esckids
espial||Espial (Europe)|Shooter / Flying Vertical|Orca / Thunderbolt|1983|espial|espial
espialu|espial|Espial (US?)||Orca / Thunderbolt|1983|espial|espial
esprade||ESP Ra.De. (International, Ver. 98/04/22)|Shooter / Flying Vertical|Cave (Atlus license)|1998|esprade|esprade
espradej|esprade|ESP Ra.De. (Japan, Ver. 98/04/21)|Shooter / Flying Vertical|Cave (Atlus license)|1998|esprade|esprade
eswat||E-Swat - Cyber Police (set 3, World, FD1094 317-0130)|Platform / Shooter Scrolling|Sega|1989|eswat|eswat
eswatbl|eswat|E-Swat - Cyber Police (bootleg)|Platform / Shooter Scrolling|bootleg|1989|eswat|eswat
eswatj|eswat|E-Swat - Cyber Police (set 1, Japan, FD1094 317-0128)|Platform / Shooter Scrolling|Sega|1989|eswat|eswat
eswatu|eswat|E-Swat - Cyber Police (set 2, US, FD1094 317-0129)|Platform / Shooter Scrolling|Sega|1989|eswat|eswat
eto||Kokontouzai Eto Monogatari (Japan)|Puzzle / Drop|Visco|1994|eto|eto
euroch92|footchmp|Euro Champ '92 (World)|Sports / Soccer|Taito Corporation Japan|1992|footchmp|footchmp
evilngt||Evil Night (ver UBA)||Konami|1998||
evilston||Evil Stone|Platform / Run Jump Scrolling|Spacy Industrial, Ltd.|1990|evilston|evilston
evosocc||Evolution Soccer|Sports / Soccer|Evoga|2001||
excelsr||Excelsior|Shooter / Field|Playmark|1996||
excitebk||Vs. Excitebike (set EB4-4 A)|Driving / Race Bike|Nintendo|1984|excitebk|excitebk
excthour|matmania|Exciting Hour|Wrestling|Technos Japan (Taito license)|1985|matmania|matmania
exctleag||Excite League (FD1094 317-0079)|Sports / Baseball|Sega|1988|exctleag|exctleag
exctscc2||Exciting Soccer II|Sports / Soccer|Alpha Denshi Co.|1984||exctscc2
exctsccr||Exciting Soccer|Sports / Soccer|Alpha Denshi Co.|1983|exctsccr|exctsccr
exedexes||Exed Exes|Shooter / Flying Vertical|Capcom|1985|exedexes|exedexes
exerion||Exerion|Shooter / Gallery|Jaleco|1983|exerion|exerion
exerionb|exerion|Exerion (bootleg)|Shooter / Gallery|bootleg|1983|exerion|exerion
exeriont|exerion|Exerion (Taito)|Shooter / Gallery|Jaleco (Taito America license)|1983|exerion|exerion
exodus|redufo|Exodus (bootleg?)|Shooter / Gallery|bootleg? (Subelectro)|1969|redufo|redufo
explbrkr||Explosive Breaker|Shooter / Flying Vertical|Kaneko|1992||
explorer|scramble|Explorer|Shooter / Flying Horizontal|bootleg|1981|scramble|scramble
exprraid||Express Raider (US set 1)|Platform / Fighter Scrolling|Data East USA|1986|exprraid|exprraid
extdwnhl||Extreme Downhill (v1.5)|Sports / Skiing|Sammy Industries Japan|1995|extdwnhl|extdwnhl
exterm||Exterminator|Shooter / 3rd Person|Gottlieb / Premier Technology|1989|exterm|exterm
extrmatn||Extermination (World)|Shooter / Walking|Taito Corporation Japan|1987|extrmatn|extrmatn
exvania||Exvania (World)|Maze / Fighter|Namco|1992|exvania|exvania
exzisus||Exzisus (Japan, dedicated)|Shooter / Flying Horizontal|Taito Corporation|1987|exzisus|exzisus
eyes||Eyes (US set 1)|Maze|Digitrex Techstar (Rock-Ola license)|1982|eyes|eyes
eyes2|eyes|Eyes (US set 2)|Maze|Techstar (Rock-Ola license)|1982|eyes|eyes
eyeszac|eyes|Eyes (Italy)||Techstar (Zaccaria license)|1982|eyes|eyes
f15se||F-15 Strike Eagle (rev. 2.2 02/25/91)|Unplayable|Microprose Games Inc.|1991|f15se|f15se
f1dream||F-1 Dream|Driving / Race|Capcom (Romstar license)|1988|f1dream|f1dream
f1dreamb|f1dream|F-1 Dream (bootleg)|Driving / Race|bootleg|1988|f1dream|f1dream
f1en||F1 Exhaust Note|Driving / Race (chase view)|Sega|1991|f1en|f1en
f1gp||F-1 Grand Prix|Driving / Race|Video System Co.|1991|f1gp|f1gp
f1gp2||F-1 Grand Prix Part II|Driving / Race|Video System Co.|1992|f1gp2|f1gp2
f1gpstar||Grand Prix Star|Driving / Race (chase view)|Jaleco|1991|f1gpstar|f1gpstar
f1gpstr2||F-1 Grand Prix Star II|Driving / Race (chase view)|Jaleco|1993|f1gpstr2|f1gpstr2
f1lap||F1 Super Lap (World)|Unplayable|Sega|1993|f1lap|f1lap
f1superb||F1 Super Battle|Unplayable|Jaleco|1994|f1superb|f1superb
fa|fghtatck|F/A (Japan)|Shooter / Flying Vertical|Namco|1992|fghtatck|fghtatck
faceoff||Face Off (Japan)|Sports / Hockey|Namco|1988|faceoff|faceoff
falcon|phoenix|Falcon (bootleg of Phoenix) (8085A CPU)|Shooter / Gallery|bootleg|1980|phoenix|phoenix
fantasia||Fantasia (940429 PCB)|Puzzle / Outline|Comad & New Japan System|1994|fantasia|fantasia
fantasy||Fantasy (World)|Misc.|SNK|1981|fantasy|fantasy
fantasyj|fantasy|Fantasy (Japan)|Misc.|SNK|1981|fantasy|fantasy
fantasyu|fantasy|Fantasy (US)|Misc.|SNK (Rock-Ola license)|1981|fantasy|fantasy
fantazia|mooncrst|Fantazia (bootleg?)|Shooter / Gallery|bootleg? (Subelectro)|1980|mooncrst|mooncrst
fantjour||Fantastic Journey (ver EAA)|Shooter / Flying Horizontal|Konami|1994||
fantland||Fantasy Land (set 1)|Platform / Shooter Scrolling|Electronic Devices Italy|1969|fantland|fantland
fantsia2||Fantasia II (Explicit)|Puzzle / Outline|Comad|1997|fantsia2|fantsia2
fantsy95||Fantasy '95|Puzzle / Outline|Hi-max Technology Inc.|1995|fantsy95|fantsy95
fantzn2||Fantasy Zone II - The Tears of Opa-Opa (MC-8123, 317-0057)|Shooter / Flying|Sega|1988|fantzn2|fantzn2
fantzone||Fantasy Zone (Rev A, unprotected)|Shooter / Flying|Sega|1986|fantzone|fantzone
farmer|ikki|Farmers Rebellion|Maze / Fighter|Sun Electronics|1985|ikki|ikki
farwest|ironhors|Far West|Platform / Shooter Scrolling|bootleg?|1986|ironhors|ironhors
fastfred|flyboy|Fast Freddie|Sports / Hang Gliding|Kaneko (Atari license)|1982|flyboy|flyboy
fastlane||Fast Lane|Maze / Driving|Konami|1987|fastlane|fastlane
fatfursp||Fatal Fury Special / Garou Densetsu Special (set 1)(NGM-058)(NGH-058)|Fighter / Versus|SNK|1993|fatfursp|fatfursp
fatfurwa||Fatal Fury: Wild Ambition (rev.A)|Unplayable|SNK|1998||fatfurwa
fatfury1||Fatal Fury - King of Fighters / Garou Densetsu - shukumei no tatakai (NGM-033)(NGH-033)|Fighter / Versus|SNK|1991|fatfury1|fatfury1
fatfury2||Fatal Fury 2 / Garou Densetsu 2 - arata-naru tatakai (NGM-047)(NGH-047)|Fighter / Versus|SNK|1992|fatfury2|fatfury2
fatfury3||Fatal Fury 3 - Road to the Final Victory / Garou Densetsu 3 - haruka-naru tatakai (NGM-069)(NGH-069)|Fighter / Versus|SNK|1995|fatfury3|fatfury3
fax||FAX|Quiz / English|Exidy|1983|fax|fax
fbfrenzy||Football Frenzy (NGM-034)(NGH-034)|Sports / Football Amer.|SNK|1992|fbfrenzy|fbfrenzy
fcombat||Field Combat|Shooter / Gallery|Jaleco|1985|fcombat|fcombat
fcrash|ffight|Final Crash (bootleg of Final Fight)||bootleg (Playmark)|1990|ffight|ffight
feversos||Fever SOS (International, Ver. 98/09/25)|Shooter / Flying Vertical|Cave (Nihon System license)|1998||
ffantasy|hippodrm|Fighting Fantasy (Japan revision 2)|Fighter / Versus|Data East Corporation|1989|hippodrm|hippodrm
ffight||Final Fight (World, set 1)|Fighter / 2.5D|Capcom|1989|ffight|ffight
ffightj|ffight|Final Fight (Japan)|Fighter / 2.5D|Capcom|1989|ffight|ffight
ffightj1|ffight|Final Fight (Japan 900112)|Fighter / 2.5D|Capcom|1989|ffight|ffight
ffightu|ffight|Final Fight (USA, set 1)|Fighter / 2.5D|Capcom|1989|ffight|ffight
ffightua|ffight|Final Fight (USA 900112)||Capcom|1989|ffight|ffight
ffreveng||Final Fight Revenge (JUET 990714 V1.000)|Fighter / Versus|Capcom|1999|ffreveng|ffreveng
fghtatck||Fighter & Attacker (US)|Shooter / Flying Vertical|Namco|1992|fghtatck|fghtatck
fghtbskt||Fighting Basketball|Sports / Basketball|Paradise Co. Ltd.|1984||fghtbskt
fghthist||Fighter's History (World ver 43-07)|Fighter / Versus|Data East Corporation|1993|fghthist|fghthist
fgoal||Field Goal|Breakout|Taito|1979||fgoal
fgoala|fgoal|Field Goal (different)|Breakout|Taito|1979||fgoal
fgtlayer||Fighting Layer (Japan, FTL1/VER.A)|Fighter / Versus|Arika / Namco|1998|fgtlayer|fgtlayer
fhawk||Fighting Hawk (World)|Shooter / Flying Vertical|Taito Corporation Japan|1988|fhawk|fhawk
fhawkj|fhawk|Fighting Hawk (Japan)|Shooter / Flying Vertical|Taito Corporation|1988|fhawk|fhawk
